RBP_index	ENSG_ID	note
901	ENSG00000096171	Not in GTF GRCh38.115 (obsolete/merged ID)
1017	ENSG00000100101	Not in GTF GRCh38.115 (obsolete/merged ID)
823	ENSG00000108296	Not in GTF GRCh38.115 (obsolete/merged ID)
1010	ENSG00000129282	Not in GTF GRCh38.115 (obsolete/merged ID)
1438	ENSG00000131795	Not in GTF GRCh38.115 (obsolete/merged ID)
561	ENSG00000133149	Not in GTF GRCh38.115 (obsolete/merged ID)
566	ENSG00000141141	Not in GTF GRCh38.115 (obsolete/merged ID)
1247	ENSG00000157828	Not in GTF GRCh38.115 (obsolete/merged ID)
1448	ENSG00000162290	Not in GTF GRCh38.115 (obsolete/merged ID)
1234	ENSG00000172660	Not in GTF GRCh38.115 (obsolete/merged ID)
749	ENSG00000174100	Not in GTF GRCh38.115 (obsolete/merged ID)
644	ENSG00000177764	Not in GTF GRCh38.115 (obsolete/merged ID)
1204	ENSG00000179837	Not in GTF GRCh38.115 (obsolete/merged ID)
47	ENSG00000180771	Not in GTF GRCh38.115 (obsolete/merged ID)
1056	ENSG00000184779	Not in GTF GRCh38.115 (obsolete/merged ID)
614	ENSG00000185945	Not in GTF GRCh38.115 (obsolete/merged ID)
1436	ENSG00000187145	Not in GTF GRCh38.115 (obsolete/merged ID)
150	ENSG00000187456	Not in GTF GRCh38.115 (obsolete/merged ID)
224	ENSG00000206268	Not in GTF GRCh38.115 (obsolete/merged ID)
137	ENSG00000206412	Not in GTF GRCh38.115 (obsolete/merged ID)
477	ENSG00000206476	Not in GTF GRCh38.115 (obsolete/merged ID)
1109	ENSG00000206486	Not in GTF GRCh38.115 (obsolete/merged ID)
707	ENSG00000206491	Not in GTF GRCh38.115 (obsolete/merged ID)
44	ENSG00000215699	Not in GTF GRCh38.115 (obsolete/merged ID)
773	ENSG00000223493	Not in GTF GRCh38.115 (obsolete/merged ID)
97	ENSG00000223775	Not in GTF GRCh38.115 (obsolete/merged ID)
1464	ENSG00000224979	Not in GTF GRCh38.115 (obsolete/merged ID)
1019	ENSG00000225989	Not in GTF GRCh38.115 (obsolete/merged ID)
240	ENSG00000226225	Not in GTF GRCh38.115 (obsolete/merged ID)
706	ENSG00000235291	Not in GTF GRCh38.115 (obsolete/merged ID)
1011	ENSG00000236765	Not in GTF GRCh38.115 (obsolete/merged ID)
679	ENSG00000237889	Not in GTF GRCh38.115 (obsolete/merged ID)
1466	ENSG00000241863	Not in GTF GRCh38.115 (obsolete/merged ID)
558	ENSG00000241962	Not in GTF GRCh38.115 (obsolete/merged ID)
542	ENSG00000243501	Not in GTF GRCh38.115 (obsolete/merged ID)
467	ENSG00000254536	Not in GTF GRCh38.115 (obsolete/merged ID)
64	ENSG00000257413	Not in GTF GRCh38.115 (obsolete/merged ID)
548	ENSG00000260178	Not in GTF GRCh38.115 (obsolete/merged ID)
1366	ENSG00000260380	Not in GTF GRCh38.115 (obsolete/merged ID)
968	ENSG00000260501	Not in GTF GRCh38.115 (obsolete/merged ID)
763	ENSG00000260537	Not in GTF GRCh38.115 (obsolete/merged ID)
1330	ENSG00000261306	Not in GTF GRCh38.115 (obsolete/merged ID)
1526	ENSG00000261974	Not in GTF GRCh38.115 (obsolete/merged ID)
10	ENSG00000262028	Not in GTF GRCh38.115 (obsolete/merged ID)
733	ENSG00000262321	Not in GTF GRCh38.115 (obsolete/merged ID)
1072	ENSG00000262740	Not in GTF GRCh38.115 (obsolete/merged ID)
588	ENSG00000262860	Not in GTF GRCh38.115 (obsolete/merged ID)
574	ENSG00000262887	Not in GTF GRCh38.115 (obsolete/merged ID)
1137	ENSG00000263077	Not in GTF GRCh38.115 (obsolete/merged ID)
1295	ENSG00000263344	Not in GTF GRCh38.115 (obsolete/merged ID)
398	ENSG00000265228	Not in GTF GRCh38.115 (obsolete/merged ID)
35	ENSG00000267483	Not in GTF GRCh38.115 (obsolete/merged ID)
1189	ENSG00000267891	Not in GTF GRCh38.115 (obsolete/merged ID)
590	ENSG00000267900	Not in GTF GRCh38.115 (obsolete/merged ID)
159	ENSG00000268273	Not in GTF GRCh38.115 (obsolete/merged ID)
345	ENSG00000268439	Not in GTF GRCh38.115 (obsolete/merged ID)
1188	ENSG00000268574	Not in GTF GRCh38.115 (obsolete/merged ID)
500	ENSG00000268675	Not in GTF GRCh38.115 (obsolete/merged ID)
1430	ENSG00000269315	Not in GTF GRCh38.115 (obsolete/merged ID)
670	ENSG00000269547	Not in GTF GRCh38.115 (obsolete/merged ID)
1162	ENSG00000269612	Not in GTF GRCh38.115 (obsolete/merged ID)
507	ENSG00000269754	Not in GTF GRCh38.115 (obsolete/merged ID)
1306	ENSG00000269875	Not in GTF GRCh38.115 (obsolete/merged ID)
