"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0010467","BP","gene expression","43/51","7319/191179",4.89924121029672e-53,43,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",2.88565307286477e-50
"GO:0009059","BP","macromolecule biosynthetic process","43/51","7788/191179",6.99189908843171e-52,43,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",2.05911428154314e-49
"GO:0034641","BP","cellular nitrogen compound metabolic process","41/51","6825/191179",3.64807923719219e-50,41,"ADAT3/CMTR2/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",7.16239556902067e-48
"GO:0044249","BP","cellular biosynthetic process","43/51","8670/191179",6.86896132966175e-50,43,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.01145455579269e-47
"GO:1901576","BP","organic substance biosynthetic process","43/51","8759/191179",1.06272650407502e-49,43,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.25189182180037e-47
"GO:0009058","BP","biosynthetic process","43/51","8807/191179",1.34224905008529e-49,43,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.31764115083372e-47
"GO:0043170","BP","macromolecule metabolic process","44/51","10222/191179",7.92830308093449e-49,44,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",6.67110073524345e-47
"GO:0044237","BP","cellular metabolic process","44/51","10950/191179",1.60153784445248e-47,44,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.17913223797814e-45
"GO:0071704","BP","organic substance metabolic process","44/51","11835/191179",4.76346805806331e-46,44,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",3.1174252068881e-44
"GO:0008152","BP","metabolic process","44/51","12339/191179",2.93702991746382e-45,44,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.72991062138619e-43
