"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0003676","MF","nucleic acid binding","41/51","4350/191179",3.70310287444162e-58,41,"DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZCCHC13/ZRSR2P1",6.29527488655075e-56
"GO:1901363","MF","heterocyclic compound binding","41/51","6301/191179",1.40380884059749e-51,41,"DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZCCHC13/ZRSR2P1",1.19323751450787e-49
"GO:0097159","MF","organic cyclic compound binding","41/51","6373/191179",2.23157465454166e-51,41,"DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZCCHC13/ZRSR2P1",1.26455897090694e-49
"GO:0003723","MF","RNA binding","32/51","2004/191179",1.41295061457409e-50,32,"DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/SMN1/UTP3/ZCCHC13/ZRSR2P1",6.00504011193989e-49
"GO:0003674","MF","molecular_function","47/51","18496/191179",3.36763557556223e-43,47,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",9.54163413075966e-42
"GO:0005488","MF","binding","46/51","16707/191179",2.88250813060609e-43,46,"ADAT3/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",9.54163413075966e-42
"GO:0005515","MF","protein binding","37/51","14048/191179",4.90665227162288e-31,37,"ADAT3/DDX19A/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA3/LCMT2/MCTS1/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RPL10/RPL17/RPL3/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.19161555167984e-29
"GO:0003735","MF","structural constituent of ribosome","12/51","176/191179",3.88863029154064e-26,12,"RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA",8.26333936952385e-25
"GO:0140098","MF","catalytic activity, acting on RNA","12/51","395/191179",7.55312359612108e-22,12,"CMTR2/DDX19A/EIF4A1/LCMT2/NOP2/NUDT16/POLR2J/POLR2J2/POLR2J3/POLR2K/RNASE3/TRMT12",1.42670112371176e-20
"GO:0140640","MF","catalytic activity, acting on a nucleic acid","12/51","611/191179",1.44486483073314e-19,12,"CMTR2/DDX19A/EIF4A1/LCMT2/NOP2/NUDT16/POLR2J/POLR2J2/POLR2J3/POLR2K/RNASE3/TRMT12",2.45627021224634e-18
