"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0005575","CC","cellular_component","46/51","19886/191179",8.03424857734606e-40,46,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.28547977237537e-37
"GO:0005622","CC","intracellular anatomical structure","43/51","15487/191179",3.64418931541779e-39,43,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",2.91535145233423e-37
"GO:0110165","CC","cellular anatomical entity","45/51","19485/191179",2.15933722812824e-38,45,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.15164652166839e-36
"GO:0043226","CC","organelle","39/51","14777/191179",2.57698638271256e-33,39,"ADAT3/CMTR2/DDX19A/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1",1.03079455308503e-31
"GO:0005634","CC","nucleus","33/51","8164/191179",7.84248833093078e-33,33,"ADAT3/CMTR2/DDX19A/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1",2.11854870475121e-31
"GO:0043229","CC","intracellular organelle","38/51","13828/191179",7.94455764281702e-33,38,"ADAT3/CMTR2/DDX19A/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1",2.11854870475121e-31
"GO:0043227","CC","membrane-bounded organelle","38/51","13906/191179",9.78607753026852e-33,38,"ADAT3/CMTR2/DDX19A/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1",2.23681772120423e-31
"GO:0043231","CC","intracellular membrane-bounded organelle","37/51","12680/191179",1.2236608987702e-32,37,"ADAT3/CMTR2/DDX19A/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MRPS28/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZRSR2P1",2.4473217975404e-31
"GO:0032991","CC","protein-containing complex","29/51","6837/191179",7.64105578174531e-29,29,"EIF2S3B/EIF4A1/FIP1L1/HNRNPA1L2/HNRNPA3/MRPS28/NCBP2L/NXF5/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/UTP3/ZRSR2P1",1.35840991675472e-27
"GO:0005737","CC","cytoplasm","34/51","12122/191179",9.02044396407362e-29,34,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/LCMT2/MRPS28/NUDT16/NXF5/PNRC2/POLR2G/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/TRMT12/ZCCHC13",1.44327103425178e-27
