"ID","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"hsa03010","Ribosome - Homo sapiens (human)","63/390","223/191179",3.30615982032947e-116,63,"MRPL1/MRPL11/MRPL15/MRPL18/MRPL24/MRPL33/MRPL41/MRPS16/MRPS18C/MRPS25/MRPS26/MRPS33/MRPS34/MRPS6/RPL10A/RPL11/RPL13A/RPL15/RPL18/RPL18A/RPL21/RPL22/RPL23/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL39/RPL4/RPL6/RPL7/RPL9/RPLP0/RPLP2/RPS11/RPS12/RPS13/RPS16/RPS19/RPS2/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3/RPS4X/RPS5/RPS6/RPS7/RPS9/RSL24D1/UBA52",3.40534461493935e-114
"hsa03040","Spliceosome - Homo sapiens (human)","57/390","243/191179",8.1696673406704e-100,57,"CDC40/CHERP/DHX15/DHX8/EFTUD2/HNRNPA1/HNRNPC/HNRNPK/HNRNPU/LSM3/LSM5/LSM6/LSM7/MAGOH/NCBP1/PCBP1/PHF5A/PPIH/PQBP1/PRPF18/PRPF31/PRPF38A/PRPF38B/PRPF4/PRPF6/PRPF8/RBM17/RBM25/RBMX/SF3A1/SF3A2/SF3A3/SF3B3/SF3B4/SF3B5/SF3B6/SNRNP200/SNRNP40/SNRNP70/SNRPA1/SNRPC/SNRPD2/SNRPD3/SNU13/SRSF2/SRSF3/SRSF5/SRSF7/SRSF9/THOC3/THOC7/TRA2A/TRA2B/TXNL4A/U2AF2/XAB2/ZMAT2",4.20737868044525e-98
"hsa05171","Coronavirus disease - Homo sapiens (human)","50/390","239/191179",8.99089233324598e-85,50,"RIGI/RPL10A/RPL11/RPL13A/RPL15/RPL18/RPL18A/RPL21/RPL22/RPL23/RPL24/RPL26/RPL26L1/RPL27/RPL27A/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL39/RPL4/RPL6/RPL7/RPL9/RPLP0/RPLP2/RPS11/RPS12/RPS13/RPS16/RPS19/RPS2/RPS21/RPS23/RPS24/RPS25/RPS27/RPS27A/RPS28/RPS3/RPS4X/RPS5/RPS6/RPS7/RPS9/RSL24D1/UBA52",3.08687303441445e-83
"hsa03015","mRNA surveillance pathway - Homo sapiens (human)","27/390","103/191179",3.83245548364802e-49,27,"CLP1/CPSF2/CPSF4L/CPSF6/CPSF7/CSTF1/CSTF2/CSTF3/MAGOH/MSI1/NCBP1/NUDT21/NXF1/NXT1/NXT2/PABPC1/PABPC4/PABPC5/PAPOLA/PAPOLG/PYM1/RNGTT/SAP18/SRRM1/TARDBP/UPF1/UPF3B",9.86857287039364e-48
"hsa03013","Nucleocytoplasmic transport - Homo sapiens (human)","23/390","108/191179",1.06276047780664e-39,23,"EEF1A2/IPO13/IPO5/IPO9/KPNB1/MAGOH/NCBP1/NXF1/NXT1/NXT2/PHAX/PYM1/RAE1/SAP18/SRRM1/THOC3/THOC7/TNPO1/TNPO2/TNPO3/UPF1/UPF3B/XPOT",2.18928658428167e-38
"hsa03018","RNA degradation - Homo sapiens (human)","19/390","78/191179",2.94680963460136e-34,19,"CNOT1/CNOT2/CNOT3/CNOT6/CNOT7/CNOT8/CNOT9/EXOSC1/EXOSC2/EXOSC4/LSM1/LSM3/LSM5/LSM6/LSM7/PABPC1/PABPC4/PABPC5/SKIC8",5.05868987273233e-33
"hsa03008","Ribosome biogenesis in eukaryotes - Homo sapiens (human)","16/390","183/191179",1.86461450470606e-21,16,"AK6/DKC1/EIF6/FCF1/IMP3/NOP10/NXF1/NXT1/NXT2/POP5/POP7/RBM28/REXO2/RPP25L/SBDS/SNU13",2.74364705692463e-20
"hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)","11/390","368/191179",4.1708161193328e-10,11,"EIF2S1/HNRNPA1/NCBP1/NXF1/NXT1/NXT2/PSMA6/RAE1/SRSF3/SRSF7/TARDBP",5.36992575364099e-09
"hsa05168","Herpes simplex virus 1 infection - Homo sapiens (human)","8/390","180/191179",4.79985750668879e-09,8,"EIF2S1/NXF1/RIGI/SRSF2/SRSF3/SRSF5/SRSF7/SRSF9",5.49317025765495e-08
"hsa03020","RNA polymerase - Homo sapiens (human)","5/390","34/191179",9.12576400573379e-09,5,"POLR2B/POLR2D/POLR2H/POLR2I/POLR2L",9.39953692590581e-08
"hsa03250","Viral life cycle - HIV-1 - Homo sapiens (human)","6/390","73/191179",1.05183285546933e-08,6,"CDK9/CPSF6/CPSF7/PSIP1/SUPT4H1/TNPO3",9.84898037394005e-08
"hsa05164","Influenza A - Homo sapiens (human)","7/390","173/191179",8.47543460413022e-08,7,"CPSF4L/EIF2S1/NXF1/NXT1/NXT2/RAE1/RIGI",7.27474803521177e-07
"hsa03420","Nucleotide excision repair - Homo sapiens (human)","5/390","63/191179",2.19580881820653e-07,5,"POLR2B/POLR2D/POLR2H/POLR2I/POLR2L",1.7397562175021e-06
"hsa03060","Protein export - Homo sapiens (human)","4/390","31/191179",5.1368535902042e-07,4,"SRP19/SRP54/SRP9/SRPRA",3.77925656993595e-06
"hsa04623","Cytosolic DNA-sensing pathway - Homo sapiens (human)","4/390","83/191179",2.75892386797312e-05,4,"PCBP1/POLR2H/POLR2L/RIGI",0.000189446105600821
"hsa05016","Huntington disease - Homo sapiens (human)","6/390","308/191179",4.66438757209453e-05,6,"POLR2B/POLR2D/POLR2H/POLR2I/POLR2L/PSMA6",0.000300269949953586
