human_gene_id	human_gene_symbol	chimp_gene_id	chimp_gene_symbol	orthology_type	perc_id
ENSG00000001497	LAS1L	ENSPTRG00000021970	LAS1L	ortholog_one2one	98.5014
ENSG00000003756	RBM5	ENSPTRG00000014946	RBM5	ortholog_one2one	99.0184
ENSG00000004534	RBM6	ENSPTRG00000014943	RBM6	ortholog_one2one	87.8896
ENSG00000005007	UPF1	ENSPTRG00000010721	UPF1	ortholog_one2one	100
ENSG00000005100	DHX33	ENSPTRG00000008632	DHX33	ortholog_one2one	99.4342
ENSG00000005189	REXO5	ENSPTRG00000007851	REXO5	ortholog_one2one	99.2248
ENSG00000005302	MSL3	ENSPTRG00000021662	MSL3	ortholog_one2one	100
ENSG00000005436	GCFC2	ENSPTRG00000012110	GCFC2	ortholog_one2one	98.4635
ENSG00000006047	YBX2	ENSPTRG00000008673	YBX2	ortholog_one2many	98.9011
ENSG00000006744	ELAC2	ENSPTRG00000008788	ELAC2	ortholog_one2one	98.9104
ENSG00000007376	RPUSD1	ENSPTRG00000007565	RPUSD1	ortholog_one2one	99.0385
ENSG00000007392	LUC7L	ENSPTRG00000007533	LUC7L	ortholog_one2one	97.3046
ENSG00000007520	TSR3	ENSPTRG00000007589	TSR3	ortholog_one2one	99.0385
ENSG00000009307	CSDE1	ENSPTRG00000033721	CSDE1	ortholog_one2one	100
ENSG00000011243	AKAP8L	ENSPTRG00000010621	AKAP8L	ortholog_one2one	99.6904
ENSG00000011260	UTP18	ENSPTRG00000046547	UTP18	ortholog_one2many	99.8201
ENSG00000011304	PTBP1	ENSPTRG00000010165	PTBP1	ortholog_one2one	98.0251
ENSG00000011376	LARS2	ENSPTRG00000014833	LARS2	ortholog_one2one	99.6678
ENSG00000012048	BRCA1	ENSPTRG00000009236	BRCA1	ortholog_one2one	98.2287
ENSG00000013364	MVP	ENSPTRG00000007971	MVP	ortholog_one2one	100
ENSG00000013441	CLK1	ENSPTRG00000012792	CLK1	ortholog_one2one	99.7934
ENSG00000013523	ANGEL1	ENSPTRG00000006569	ANGEL1	ortholog_one2one	99.403
ENSG00000014164	ZC3H3	ENSPTRG00000020655	ZC3H3	ortholog_one2one	97.9958
ENSG00000015479	MATR3	ENSPTRG00000017294	MATR3	ortholog_one2one	99.6458
ENSG00000020577	SAMD4A	ENSPTRG00000006364	SAMD4A	ortholog_one2one	99.8607
ENSG00000021776	AQR	ENSPTRG00000006891	AQR	ortholog_one2one	99.8653
ENSG00000023191	RNH1	ENSPTRG00000003118	RNH1	ortholog_one2one	98.9154
ENSG00000023734	STRAP	ENSPTRG00000004734	STRAP	ortholog_one2one	99.7143
ENSG00000026297	RNASET2	ENSPTRG00000018796	RNASET2	ortholog_one2one	99.2188
ENSG00000029363	BCLAF1	ENSPTRG00000018635	BCLAF1	ortholog_one2one	99.8913
ENSG00000029639	TFB1M	ENSPTRG00000018730	TFB1M	ortholog_one2one	99.711
ENSG00000031698	SARS1	ENSPTRG00000001043	SARS1	ortholog_one2one	99.8055
ENSG00000033030	ZCCHC8	ENSPTRG00000005579	ZCCHC8	ortholog_one2one	99.7171
ENSG00000037241	RPL26L1	ENSPTRG00000043990	RPL26L1	ortholog_one2one	100
ENSG00000037474	NSUN2	ENSPTRG00000016715	NSUN2	ortholog_one2one	99.3481
ENSG00000037897	METTL1	ENSPTRG00000005150	METTL1	ortholog_one2one	98.913
ENSG00000038358	EDC4	ENSPTRG00000008249	EDC4	ortholog_one2one	99.7145
ENSG00000039123	MTREX	ENSPTRG00000016878	MTREX	ortholog_one2one	99.8081
ENSG00000040341	STAU2	ENSPTRG00000047797	STAU2	ortholog_one2one	82.2807
ENSG00000041802	LSG1	ENSPTRG00000015760	LSG1	ortholog_one2one	97.8723
ENSG00000043514	TRIT1	ENSPTRG00000000579	TRIT1	ortholog_one2one	99.7859
ENSG00000046647	GEMIN8	ENSPTRG00000048272	GEMIN8	ortholog_one2one	98.7603
ENSG00000047188	YTHDC2	ENSPTRG00000017143	YTHDC2	ortholog_one2one	99.5804
ENSG00000047315	POLR2B	ENSPTRG00000016089	POLR2B	ortholog_one2one	100
ENSG00000047410	TPR	ENSPTRG00000001783	TPR	ortholog_one2one	99.7461
ENSG00000048162	NOP16	ENSPTRG00000017560	NOP16	ortholog_one2one	100
ENSG00000048544	MRPS10	ENSPTRG00000018169	MRPS10	ortholog_one2one	98.5075
ENSG00000048740	CELF2	ENSPTRG00000002284	CELF2	ortholog_one2one	98.6564
ENSG00000048828	FAM120A	ENSPTRG00000021127	FAM120A	ortholog_one2one	90.3399
ENSG00000048991	R3HDM1	ENSPTRG00000012494	R3HDM1	ortholog_one2one	95.8554
ENSG00000049883	PTCD2	ENSPTRG00000016968	PTCD2	ortholog_one2one	99.2268
ENSG00000051596	THOC3	ENSPTRG00000017594	THOC3	ortholog_one2one	100
ENSG00000052749	RRP12	ENSPTRG00000002806	RRP12	ortholog_one2one	95.1426
ENSG00000053372	MRTO4	ENSPTRG00000000262	MRTO4	ortholog_one2one	100
ENSG00000054118	THRAP3	ENSPTRG00000000535	THRAP3	ortholog_one2one	100
ENSG00000055044	NOP58	ENSPTRG00000012818	NOP58	ortholog_one2one	94.896
ENSG00000055332	EIF2AK2	ENSPTRG00000011834	EIF2AK2	ortholog_one2one	98.7296
ENSG00000055917	PUM2	ENSPTRG00000011692	PUM2	ortholog_one2one	99.906
ENSG00000055950	MRPL43	ENSPTRG00000002858	MRPL43	ortholog_one2one	98.1132
ENSG00000056097	ZFR	ENSPTRG00000016771	ZFR	ortholog_one2one	99.9069
ENSG00000056586	RC3H2	ENSPTRG00000021339	RC3H2	ortholog_one2one	99.6641
ENSG00000058673	ZC3H11A	ENSPTRG00000001876	ZC3H11A	ortholog_one2one	99.6296
ENSG00000058729	RIOK2	ENSPTRG00000017100	RIOK2	ortholog_one2one	98.913
